序号,零部件名称,供应商名称,故障类型,故障现象,原因分析,临时措施,永久措施,问题描述,D2-问题描述,发生频次,临时措施1,临时措施2,临时措施3,永久措施1,永久措施2,永久措施3,根本原因,流出原因
11,ECU控制器,创汇信息有限公司,材料,间隙超差,"1. 根本原因：胶水固化参数设置错误
2. 流出原因：过程巡检未包含此特性检查","1. 立即隔离可疑批次B77007
2. 对在制品进行100%全检
3. 启用备用供应商","1. 更新设备维护计划，增加定位销更换频次
2. 修改终检标准，增加位置度检测项目
3. 对操作工进行专项培训",批次B77007的ECU控制器出现批量材料缺陷,客户反馈批次B77007的ECU控制器存在材料问题,多次,启用备用供应商,,,更新设备维护计划，增加定位销更换频次,修改终检标准，增加位置度检测项目,对操作工进行专项培训,胶水固化参数设置错误,过程巡检未包含此特性检查
12,后顶盖外板组件,鑫博腾飞信息有限公司,尺寸,色差,"1. 根本原因：设备定位销磨损导致加工位置度超差
2. 流出原因：终检工位检测方法未能有效识别此缺陷","1. 调整工艺参数临时补偿
2. 增加在线检测工位
3. 对库存产品进行复查","1. 更新供应商材料技术规范
2. 在进料检验增加硬度测试
3. 开发第二供应商降低风险",后顶盖外板组件在焊装车间发现色差问题,鑫博腾飞信息有限公司交付的后顶盖外板组件在工厂002检测不合格,再次,调整工艺参数临时补偿,增加在线检测工位,对库存产品进行复查,更新供应商材料技术规范,在进料检验增加硬度测试,开发第二供应商降低风险,设备定位销磨损导致加工位置度超差,终检工位检测方法未能有效识别此缺陷
13,车门铰链总成,银嘉信息有限公司,材料,压印,"1. 根本原因：设备定位销磨损导致加工位置度超差
2. 流出原因：终检工位检测方法未能有效识别此缺陷","1. 启动整车排查计划
2. 供应商现场驻点筛选
3. 修改临时接收标准","1. 优化工艺参数，固化温度提高20℃
2. 增加红外测温仪实时监控
3. 更新FMEA和控制计划",批次/的车门铰链总成出现批量材料缺陷,客户反馈批次/的车门铰链总成存在材料问题,初次,启动整车排查计划,供应商现场驻点筛选,修改临时接收标准,增加红外测温仪实时监控,更新FMEA和控制计划,,设备定位销磨损导致加工位置度超差,终检工位检测方法未能有效识别此缺陷
14,车门铰链总成,浙大万朋网络有限公司,外观,短路,"1. 根本原因：胶水固化参数设置错误
2. 流出原因：过程巡检未包含此特性检查","1. 立即隔离可疑批次/
2. 对在制品进行100%全检
3. 启用备用供应商","1. 更新设备维护计划，增加定位销更换频次
2. 修改终检标准，增加位置度检测项目
3. 对操作工进行专项培训",车门铰链总成在总装车间发现短路问题,客户反馈批次/的车门铰链总成存在外观问题,再次,立即隔离可疑批次/,启用备用供应商,,更新设备维护计划，增加定位销更换频次,修改终检标准，增加位置度检测项目,对操作工进行专项培训,胶水固化参数设置错误,过程巡检未包含此特性检查
15,线束总成,飞利信信息有限公司,材料,间隙超差,"1. 根本原因：设备定位销磨损导致加工位置度超差
2. 流出原因：终检工位检测方法未能有效识别此缺陷","1. 启动整车排查计划
2. 供应商现场驻点筛选
3. 修改临时接收标准","1. 优化工艺参数，固化温度提高20℃
2. 增加红外测温仪实时监控
3. 更新FMEA和控制计划",线束总成在涂装车间发现间隙超差问题,客户反馈批次B58349的线束总成存在材料问题,再次,启动整车排查计划,供应商现场驻点筛选,修改临时接收标准,增加红外测温仪实时监控,更新FMEA和控制计划,,设备定位销磨损导致加工位置度超差,终检工位检测方法未能有效识别此缺陷
16,前门密封条,四通传媒有限公司,电气,划伤,"1. 根本原因：来料批次材料硬度超标
2. 流出原因：供应商出厂检验标准不完善","1. 启动整车排查计划
2. 供应商现场驻点筛选
3. 修改临时接收标准","1. 更新设备维护计划，增加定位销更换频次
2. 修改终检标准，增加位置度检测项目
3. 对操作工进行专项培训",前门密封条在涂装车间发现划伤问题,在涂装车间发现33件划伤缺陷,多次,启动整车排查计划,供应商现场驻点筛选,修改临时接收标准,更新设备维护计划，增加定位销更换频次,修改终检标准，增加位置度检测项目,对操作工进行专项培训,来料批次材料硬度超标,供应商出厂检验标准不完善
17,ECU控制器,凌云网络有限公司,尺寸,间隙超差,"1. 根本原因：胶水固化参数设置错误
2. 流出原因：过程巡检未包含此特性检查","1. 调整工艺参数临时补偿
2. 增加在线检测工位
3. 对库存产品进行复查","1. 更新供应商材料技术规范
2. 在进料检验增加硬度测试
3. 开发第二供应商降低风险",批次B35937的ECU控制器出现批量尺寸缺陷,凌云网络有限公司交付的ECU控制器在工厂019检测不合格,再次,调整工艺参数临时补偿,增加在线检测工位,对库存产品进行复查,更新供应商材料技术规范,在进料检验增加硬度测试,开发第二供应商降低风险,胶水固化参数设置错误,过程巡检未包含此特性检查
18,前门密封条,戴硕电子网络有限公司,尺寸,划伤,"1. 根本原因：设备定位销磨损导致加工位置度超差
2. 流出原因：终检工位检测方法未能有效识别此缺陷","1. 立即隔离可疑批次/
2. 对在制品进行100%全检
3. 启用备用供应商","1. 更新设备维护计划，增加定位销更换频次
2. 修改终检标准，增加位置度检测项目
3. 对操作工进行专项培训",批次/的前门密封条出现批量尺寸缺陷,客户反馈批次/的前门密封条存在尺寸问题,初次,立即隔离可疑批次/,启用备用供应商,,更新设备维护计划，增加定位销更换频次,修改终检标准，增加位置度检测项目,对操作工进行专项培训,设备定位销磨损导致加工位置度超差,终检工位检测方法未能有效识别此缺陷
19,后顶盖外板组件,联软传媒有限公司,外观,短路,"1. 根本原因：来料批次材料硬度超标
2. 流出原因：供应商出厂检验标准不完善","1. 调整工艺参数临时补偿
2. 增加在线检测工位
3. 对库存产品进行复查","1. 更新设备维护计划，增加定位销更换频次
2. 修改终检标准，增加位置度检测项目
3. 对操作工进行专项培训",批次B65986的后顶盖外板组件出现批量外观缺陷,在焊装车间发现27件短路缺陷,再次,调整工艺参数临时补偿,增加在线检测工位,对库存产品进行复查,更新设备维护计划，增加定位销更换频次,修改终检标准，增加位置度检测项目,对操作工进行专项培训,来料批次材料硬度超标,供应商出厂检验标准不完善
20,车门铰链总成,黄石金承科技有限公司,尺寸,划伤,"1. 根本原因：设备定位销磨损导致加工位置度超差
2. 流出原因：终检工位检测方法未能有效识别此缺陷","1. 调整工艺参数临时补偿
2. 增加在线检测工位
3. 对库存产品进行复查","1. 更新供应商材料技术规范
2. 在进料检验增加硬度测试
3. 开发第二供应商降低风险",批次/的车门铰链总成出现批量尺寸缺陷,在焊装车间发现49件划伤缺陷,再次,调整工艺参数临时补偿,增加在线检测工位,对库存产品进行复查,更新供应商材料技术规范,在进料检验增加硬度测试,开发第二供应商降低风险,设备定位销磨损导致加工位置度超差,终检工位检测方法未能有效识别此缺陷
21,前门密封条,恩悌信息有限公司,材料,间隙超差,"1. 根本原因：来料批次材料硬度超标
2. 流出原因：供应商出厂检验标准不完善","1. 立即隔离可疑批次B83649
2. 对在制品进行100%全检
3. 启用备用供应商","1. 优化工艺参数，固化温度提高20℃
2. 增加红外测温仪实时监控
3. 更新FMEA和控制计划",恩悌信息有限公司供应的前门密封条在装配过程中出现间隙超差,在总装车间发现37件间隙超差缺陷,多次,启用备用供应商,,,增加红外测温仪实时监控,更新FMEA和控制计划,,来料批次材料硬度超标,供应商出厂检验标准不完善
22,后顶盖外板组件,联通时科信息有限公司,外观,划伤,"1. 根本原因：设备定位销磨损导致加工位置度超差
2. 流出原因：终检工位检测方法未能有效识别此缺陷","1. 立即隔离可疑批次B45858
2. 对在制品进行100%全检
3. 启用备用供应商","1. 优化工艺参数，固化温度提高20℃
2. 增加红外测温仪实时监控
3. 更新FMEA和控制计划",联通时科信息有限公司供应的后顶盖外板组件在装配过程中出现划伤,在发运场发现8件划伤缺陷,再次,启用备用供应商,,,增加红外测温仪实时监控,更新FMEA和控制计划,,设备定位销磨损导致加工位置度超差,终检工位检测方法未能有效识别此缺陷
23,线束总成,济南亿次元传媒有限公司,外观,压印,"1. 根本原因：设备定位销磨损导致加工位置度超差
2. 流出原因：终检工位检测方法未能有效识别此缺陷","1. 调整工艺参数临时补偿
2. 增加在线检测工位
3. 对库存产品进行复查","1. 更新设备维护计划，增加定位销更换频次
2. 修改终检标准，增加位置度检测项目
3. 对操作工进行专项培训",批次B91075的线束总成出现批量外观缺陷,在发运场发现18件压印缺陷,初次,调整工艺参数临时补偿,增加在线检测工位,对库存产品进行复查,更新设备维护计划，增加定位销更换频次,修改终检标准，增加位置度检测项目,对操作工进行专项培训,设备定位销磨损导致加工位置度超差,终检工位检测方法未能有效识别此缺陷
24,线束总成,和泰网络有限公司,尺寸,划伤,"1. 根本原因：胶水固化参数设置错误
2. 流出原因：过程巡检未包含此特性检查","1. 启动整车排查计划
2. 供应商现场驻点筛选
3. 修改临时接收标准","1. 优化工艺参数，固化温度提高20℃
2. 增加红外测温仪实时监控
3. 更新FMEA和控制计划",线束总成在总装车间发现划伤问题,和泰网络有限公司交付的线束总成在工厂017检测不合格,多次,启动整车排查计划,供应商现场驻点筛选,修改临时接收标准,增加红外测温仪实时监控,更新FMEA和控制计划,,胶水固化参数设置错误,过程巡检未包含此特性检查
25,车门铰链总成,华远软件科技有限公司,电气,短路,"1. 根本原因：来料批次材料硬度超标
2. 流出原因：供应商出厂检验标准不完善","1. 启动整车排查计划
2. 供应商现场驻点筛选
3. 修改临时接收标准","1. 优化工艺参数，固化温度提高20℃
2. 增加红外测温仪实时监控
3. 更新FMEA和控制计划",批次B42513的车门铰链总成出现批量电气缺陷,华远软件科技有限公司交付的车门铰链总成在工厂003检测不合格,再次,启动整车排查计划,供应商现场驻点筛选,修改临时接收标准,增加红外测温仪实时监控,更新FMEA和控制计划,,来料批次材料硬度超标,供应商出厂检验标准不完善
26,车门铰链总成,飞利信科技有限公司,尺寸,压印,"1. 根本原因：设备定位销磨损导致加工位置度超差
2. 流出原因：终检工位检测方法未能有效识别此缺陷","1. 立即隔离可疑批次B10396
2. 对在制品进行100%全检
3. 启用备用供应商","1. 更新供应商材料技术规范
2. 在进料检验增加硬度测试
3. 开发第二供应商降低风险",飞利信科技有限公司供应的车门铰链总成在装配过程中出现压印,飞利信科技有限公司交付的车门铰链总成在工厂003检测不合格,多次,启用备用供应商,,,更新供应商材料技术规范,在进料检验增加硬度测试,开发第二供应商降低风险,设备定位销磨损导致加工位置度超差,终检工位检测方法未能有效识别此缺陷
27,ECU控制器,迪摩科技有限公司,功能,划伤,"1. 根本原因：来料批次材料硬度超标
2. 流出原因：供应商出厂检验标准不完善","1. 立即隔离可疑批次B77917
2. 对在制品进行100%全检
3. 启用备用供应商","1. 更新设备维护计划，增加定位销更换频次
2. 修改终检标准，增加位置度检测项目
3. 对操作工进行专项培训",迪摩科技有限公司供应的ECU控制器在装配过程中出现划伤,迪摩科技有限公司交付的ECU控制器在工厂010检测不合格,初次,启用备用供应商,,,更新设备维护计划，增加定位销更换频次,修改终检标准，增加位置度检测项目,对操作工进行专项培训,来料批次材料硬度超标,供应商出厂检验标准不完善
28,车门铰链总成,七喜信息有限公司,功能,划伤,"1. 根本原因：设备定位销磨损导致加工位置度超差
2. 流出原因：终检工位检测方法未能有效识别此缺陷","1. 立即隔离可疑批次B41262
2. 对在制品进行100%全检
3. 启用备用供应商","1. 更新设备维护计划，增加定位销更换频次
2. 修改终检标准，增加位置度检测项目
3. 对操作工进行专项培训",批次B41262的车门铰链总成出现批量功能缺陷,七喜信息有限公司交付的车门铰链总成在工厂012检测不合格,再次,启用备用供应商,,,更新设备维护计划，增加定位销更换频次,修改终检标准，增加位置度检测项目,对操作工进行专项培训,设备定位销磨损导致加工位置度超差,终检工位检测方法未能有效识别此缺陷
29,后顶盖外板组件,创汇科技有限公司,尺寸,间隙超差,"1. 根本原因：来料批次材料硬度超标
2. 流出原因：供应商出厂检验标准不完善","1. 调整工艺参数临时补偿
2. 增加在线检测工位
3. 对库存产品进行复查","1. 更新供应商材料技术规范
2. 在进料检验增加硬度测试
3. 开发第二供应商降低风险",创汇科技有限公司供应的后顶盖外板组件在装配过程中出现间隙超差,在发运场发现40件间隙超差缺陷,再次,调整工艺参数临时补偿,增加在线检测工位,对库存产品进行复查,更新供应商材料技术规范,在进料检验增加硬度测试,开发第二供应商降低风险,来料批次材料硬度超标,供应商出厂检验标准不完善
30,前门密封条,富罳科技有限公司,尺寸,间隙超差,"1. 根本原因：胶水固化参数设置错误
2. 流出原因：过程巡检未包含此特性检查","1. 立即隔离可疑批次B78217
2. 对在制品进行100%全检
3. 启用备用供应商","1. 更新供应商材料技术规范
2. 在进料检验增加硬度测试
3. 开发第二供应商降低风险",批次B78217的前门密封条出现批量尺寸缺陷,富罳科技有限公司交付的前门密封条在工厂005检测不合格,再次,启用备用供应商,,,更新供应商材料技术规范,在进料检验增加硬度测试,开发第二供应商降低风险,胶水固化参数设置错误,过程巡检未包含此特性检查
31,线束总成,联软网络有限公司,材料,短路,"1. 根本原因：胶水固化参数设置错误
2. 流出原因：过程巡检未包含此特性检查","1. 启动整车排查计划
2. 供应商现场驻点筛选
3. 修改临时接收标准","1. 优化工艺参数，固化温度提高20℃
2. 增加红外测温仪实时监控
3. 更新FMEA和控制计划",联软网络有限公司供应的线束总成在装配过程中出现短路,联软网络有限公司交付的线束总成在工厂011检测不合格,多次,启动整车排查计划,供应商现场驻点筛选,修改临时接收标准,增加红外测温仪实时监控,更新FMEA和控制计划,,胶水固化参数设置错误,过程巡检未包含此特性检查
32,车门铰链总成,恩悌传媒有限公司,尺寸,间隙超差,"1. 根本原因：胶水固化参数设置错误
2. 流出原因：过程巡检未包含此特性检查","1. 立即隔离可疑批次B52403
2. 对在制品进行100%全检
3. 启用备用供应商","1. 优化工艺参数，固化温度提高20℃
2. 增加红外测温仪实时监控
3. 更新FMEA和控制计划",车门铰链总成在涂装车间发现间隙超差问题,恩悌传媒有限公司交付的车门铰链总成在工厂003检测不合格,多次,启用备用供应商,,,增加红外测温仪实时监控,更新FMEA和控制计划,,胶水固化参数设置错误,过程巡检未包含此特性检查
33,线束总成,鸿睿思博信息有限公司,外观,色差,"1. 根本原因：设备定位销磨损导致加工位置度超差
2. 流出原因：终检工位检测方法未能有效识别此缺陷","1. 启动整车排查计划
2. 供应商现场驻点筛选
3. 修改临时接收标准","1. 更新供应商材料技术规范
2. 在进料检验增加硬度测试
3. 开发第二供应商降低风险",鸿睿思博信息有限公司供应的线束总成在装配过程中出现色差,在涂装车间发现41件色差缺陷,再次,启动整车排查计划,供应商现场驻点筛选,修改临时接收标准,更新供应商材料技术规范,在进料检验增加硬度测试,开发第二供应商降低风险,设备定位销磨损导致加工位置度超差,终检工位检测方法未能有效识别此缺陷
34,ECU控制器,商软冠联传媒有限公司,材料,短路,"1. 根本原因：设备定位销磨损导致加工位置度超差
2. 流出原因：终检工位检测方法未能有效识别此缺陷","1. 启动整车排查计划
2. 供应商现场驻点筛选
3. 修改临时接收标准","1. 更新设备维护计划，增加定位销更换频次
2. 修改终检标准，增加位置度检测项目
3. 对操作工进行专项培训",ECU控制器在发运场发现短路问题,在发运场发现22件短路缺陷,多次,启动整车排查计划,供应商现场驻点筛选,修改临时接收标准,更新设备维护计划，增加定位销更换频次,修改终检标准，增加位置度检测项目,对操作工进行专项培训,设备定位销磨损导致加工位置度超差,终检工位检测方法未能有效识别此缺陷
35,前门密封条,惠派国际公司科技有限公司,外观,划伤,"1. 根本原因：设备定位销磨损导致加工位置度超差
2. 流出原因：终检工位检测方法未能有效识别此缺陷","1. 调整工艺参数临时补偿
2. 增加在线检测工位
3. 对库存产品进行复查","1. 更新设备维护计划，增加定位销更换频次
2. 修改终检标准，增加位置度检测项目
3. 对操作工进行专项培训",前门密封条在商品化区域发现划伤问题,惠派国际公司科技有限公司交付的前门密封条在工厂010检测不合格,初次,调整工艺参数临时补偿,增加在线检测工位,对库存产品进行复查,更新设备维护计划，增加定位销更换频次,修改终检标准，增加位置度检测项目,对操作工进行专项培训,设备定位销磨损导致加工位置度超差,终检工位检测方法未能有效识别此缺陷
36,线束总成,创汇传媒有限公司,尺寸,间隙超差,"1. 根本原因：来料批次材料硬度超标
2. 流出原因：供应商出厂检验标准不完善","1. 调整工艺参数临时补偿
2. 增加在线检测工位
3. 对库存产品进行复查","1. 更新设备维护计划，增加定位销更换频次
2. 修改终检标准，增加位置度检测项目
3. 对操作工进行专项培训",线束总成在涂装车间发现间隙超差问题,在涂装车间发现17件间隙超差缺陷,初次,调整工艺参数临时补偿,增加在线检测工位,对库存产品进行复查,更新设备维护计划，增加定位销更换频次,修改终检标准，增加位置度检测项目,对操作工进行专项培训,来料批次材料硬度超标,供应商出厂检验标准不完善
37,车门铰链总成,良诺科技有限公司,电气,间隙超差,"1. 根本原因：胶水固化参数设置错误
2. 流出原因：过程巡检未包含此特性检查","1. 调整工艺参数临时补偿
2. 增加在线检测工位
3. 对库存产品进行复查","1. 优化工艺参数，固化温度提高20℃
2. 增加红外测温仪实时监控
3. 更新FMEA和控制计划",批次B79773的车门铰链总成出现批量电气缺陷,良诺科技有限公司交付的车门铰链总成在工厂009检测不合格,初次,调整工艺参数临时补偿,增加在线检测工位,对库存产品进行复查,增加红外测温仪实时监控,更新FMEA和控制计划,,胶水固化参数设置错误,过程巡检未包含此特性检查
38,线束总成,华泰通安网络有限公司,功能,色差,"1. 根本原因：来料批次材料硬度超标
2. 流出原因：供应商出厂检验标准不完善","1. 调整工艺参数临时补偿
2. 增加在线检测工位
3. 对库存产品进行复查","1. 更新设备维护计划，增加定位销更换频次
2. 修改终检标准，增加位置度检测项目
3. 对操作工进行专项培训",华泰通安网络有限公司供应的线束总成在装配过程中出现色差,客户反馈批次B16010的线束总成存在功能问题,初次,调整工艺参数临时补偿,增加在线检测工位,对库存产品进行复查,更新设备维护计划，增加定位销更换频次,修改终检标准，增加位置度检测项目,对操作工进行专项培训,来料批次材料硬度超标,供应商出厂检验标准不完善
39,后顶盖外板组件,恒聪百汇网络有限公司,功能,间隙超差,"1. 根本原因：设备定位销磨损导致加工位置度超差
2. 流出原因：终检工位检测方法未能有效识别此缺陷","1. 调整工艺参数临时补偿
2. 增加在线检测工位
3. 对库存产品进行复查","1. 更新供应商材料技术规范
2. 在进料检验增加硬度测试
3. 开发第二供应商降低风险",后顶盖外板组件在总装车间发现间隙超差问题,客户反馈批次B11318的后顶盖外板组件存在功能问题,初次,调整工艺参数临时补偿,增加在线检测工位,对库存产品进行复查,更新供应商材料技术规范,在进料检验增加硬度测试,开发第二供应商降低风险,设备定位销磨损导致加工位置度超差,终检工位检测方法未能有效识别此缺陷
40,前门密封条,凌云科技有限公司,外观,间隙超差,"1. 根本原因：胶水固化参数设置错误
2. 流出原因：过程巡检未包含此特性检查","1. 立即隔离可疑批次B99295
2. 对在制品进行100%全检
3. 启用备用供应商","1. 更新供应商材料技术规范
2. 在进料检验增加硬度测试
3. 开发第二供应商降低风险",前门密封条在焊装车间发现间隙超差问题,凌云科技有限公司交付的前门密封条在工厂018检测不合格,多次,启用备用供应商,,,更新供应商材料技术规范,在进料检验增加硬度测试,开发第二供应商降低风险,胶水固化参数设置错误,过程巡检未包含此特性检查
41,线束总成,襄樊地球村科技有限公司,电气,压印,"1. 根本原因：来料批次材料硬度超标
2. 流出原因：供应商出厂检验标准不完善","1. 启动整车排查计划
2. 供应商现场驻点筛选
3. 修改临时接收标准","1. 优化工艺参数，固化温度提高20℃
2. 增加红外测温仪实时监控
3. 更新FMEA和控制计划",襄樊地球村科技有限公司供应的线束总成在装配过程中出现压印,襄樊地球村科技有限公司交付的线束总成在工厂012检测不合格,再次,启动整车排查计划,供应商现场驻点筛选,修改临时接收标准,增加红外测温仪实时监控,更新FMEA和控制计划,,来料批次材料硬度超标,供应商出厂检验标准不完善
42,车门铰链总成,快讯信息有限公司,电气,划伤,"1. 根本原因：来料批次材料硬度超标
2. 流出原因：供应商出厂检验标准不完善","1. 立即隔离可疑批次B72269
2. 对在制品进行100%全检
3. 启用备用供应商","1. 更新设备维护计划，增加定位销更换频次
2. 修改终检标准，增加位置度检测项目
3. 对操作工进行专项培训",快讯信息有限公司供应的车门铰链总成在装配过程中出现划伤,快讯信息有限公司交付的车门铰链总成在工厂008检测不合格,初次,启用备用供应商,,,更新设备维护计划，增加定位销更换频次,修改终检标准，增加位置度检测项目,对操作工进行专项培训,来料批次材料硬度超标,供应商出厂检验标准不完善
43,后顶盖外板组件,东方峻景科技有限公司,电气,间隙超差,"1. 根本原因：胶水固化参数设置错误
2. 流出原因：过程巡检未包含此特性检查","1. 调整工艺参数临时补偿
2. 增加在线检测工位
3. 对库存产品进行复查","1. 更新设备维护计划，增加定位销更换频次
2. 修改终检标准，增加位置度检测项目
3. 对操作工进行专项培训",批次B81688的后顶盖外板组件出现批量电气缺陷,东方峻景科技有限公司交付的后顶盖外板组件在工厂002检测不合格,再次,调整工艺参数临时补偿,增加在线检测工位,对库存产品进行复查,更新设备维护计划，增加定位销更换频次,修改终检标准，增加位置度检测项目,对操作工进行专项培训,胶水固化参数设置错误,过程巡检未包含此特性检查
44,前门密封条,黄石金承传媒有限公司,功能,短路,"1. 根本原因：来料批次材料硬度超标
2. 流出原因：供应商出厂检验标准不完善","1. 立即隔离可疑批次B10719
2. 对在制品进行100%全检
3. 启用备用供应商","1. 优化工艺参数，固化温度提高20℃
2. 增加红外测温仪实时监控
3. 更新FMEA和控制计划",批次B10719的前门密封条出现批量功能缺陷,黄石金承传媒有限公司交付的前门密封条在工厂019检测不合格,初次,启用备用供应商,,,增加红外测温仪实时监控,更新FMEA和控制计划,,来料批次材料硬度超标,供应商出厂检验标准不完善
