零件名称,供应商名称,问题描述,故障类别,故障现象,临时措施1,临时措施2,临时措施3,原因分析1,原因分析2
车门铰链总成,图龙信息网络有限公司,08月30日，涂装车间反馈电子元件短路导致功能失效,尺寸,外观缺陷,1. 启动整车排查，排查143台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
顶盖内衬总成,方正科技网络有限公司,02月24日，总装车间反馈密封条开胶导致漏水风险,电气,间隙超差,1. 立即隔离可疑批次，共隔离102件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
顶盖内衬总成,诺依曼软件科技有限公司,04月30日，发运场反馈电子元件短路导致功能失效,功能,连接强度不足,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
顶盖内衬总成,菊风公司信息有限公司,10月22日，焊装车间反馈尺寸超差导致装配间隙过大,电气,外观缺陷,1. 立即隔离可疑批次，共隔离419件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
一体式后车架组件,易动力科技有限公司,12月25日，涂装车间反馈表面涂层脱落影响外观质量,电气,外观缺陷,1. 立即隔离可疑批次，共隔离78件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
一体式后车架组件,毕博诚传媒有限公司,12月06日，商品化区域反馈电子元件短路导致功能失效,尺寸,异响,1. 立即隔离可疑批次，共隔离72件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
顶盖内衬总成,太极科技有限公司,12月30日，总装车间反馈尺寸超差导致装配间隙过大,尺寸,连接强度不足,1. 启动整车排查，排查69台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
车门铰链总成,巨奥传媒有限公司,01月26日，总装车间反馈尺寸超差导致装配间隙过大,尺寸,间隙超差,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
一体式后车架组件,易动力网络有限公司,12月07日，涂装车间反馈密封条开胶导致漏水风险,结构,间隙超差,1. 立即隔离可疑批次，共隔离59件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
一体式后车架组件,精芯网络有限公司,02月23日，发运场反馈电子元件短路导致功能失效,外观,连接强度不足,1. 启动整车排查，排查191台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
线束总成,明腾传媒有限公司,01月11日，发运场反馈焊接虚焊导致结构强度不足,外观,外观缺陷,1. 启动整车排查，排查87台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
一体式后车架组件,明腾科技有限公司,07月26日，焊装车间反馈表面涂层脱落影响外观质量,结构,功能失效,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
线束总成,商软冠联信息有限公司,08月27日，发运场反馈电子元件短路导致功能失效,电气,间隙超差,1. 立即隔离可疑批次，共隔离287件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
线束总成,凌颖信息网络有限公司,03月08日，焊装车间反馈电子元件短路导致功能失效,结构,外观缺陷,1. 启动整车排查，排查184台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
顶盖内衬总成,毕博诚传媒有限公司,09月20日，焊装车间反馈密封条开胶导致漏水风险,外观,外观缺陷,1. 立即隔离可疑批次，共隔离378件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
一体式后车架组件,诺依曼软件科技有限公司,04月07日，商品化区域反馈表面涂层脱落影响外观质量,结构,间隙超差,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
线束总成,信诚致远网络有限公司,02月10日，发运场反馈螺纹孔加工位置度偏移导致螺栓无法拧紧,尺寸,间隙超差,1. 立即隔离可疑批次，共隔离477件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
线束总成,巨奥科技有限公司,03月03日，发运场反馈表面涂层脱落影响外观质量,尺寸,功能失效,1. 立即隔离可疑批次，共隔离287件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
顶盖内衬总成,济南亿次元网络有限公司,11月21日，商品化区域反馈尺寸超差导致装配间隙过大,功能,异响,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
一体式后车架组件,黄石金承网络有限公司,05月31日，涂装车间反馈螺纹孔加工位置度偏移导致螺栓无法拧紧,功能,功能失效,1. 立即隔离可疑批次，共隔离229件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
线束总成,同兴万点科技有限公司,06月28日，涂装车间反馈焊接虚焊导致结构强度不足,尺寸,异响,1. 立即隔离可疑批次，共隔离473件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
ECU控制器,维涛信息有限公司,06月07日，总装车间反馈尺寸超差导致装配间隙过大,电气,连接强度不足,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
车门铰链总成,鸿睿思博网络有限公司,11月16日，焊装车间反馈螺纹孔加工位置度偏移导致螺栓无法拧紧,结构,连接强度不足,1. 启动整车排查，排查52台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
顶盖内衬总成,四通网络有限公司,03月19日，焊装车间反馈尺寸超差导致装配间隙过大,尺寸,间隙超差,1. 启动整车排查，排查95台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
线束总成,鑫博腾飞传媒有限公司,10月30日，焊装车间反馈表面涂层脱落影响外观质量,功能,功能失效,1. 立即隔离可疑批次，共隔离267件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
一体式后车架组件,诺依曼软件科技有限公司,08月01日，总装车间反馈表面涂层脱落影响外观质量,外观,功能失效,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
一体式后车架组件,恩悌网络有限公司,08月10日，发运场反馈尺寸超差导致装配间隙过大,电气,异响,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
顶盖内衬总成,合联电子信息有限公司,08月13日，焊装车间反馈电子元件短路导致功能失效,外观,连接强度不足,1. 启动整车排查，排查55台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
一体式后车架组件,鑫博腾飞科技有限公司,05月03日，商品化区域反馈密封条开胶导致漏水风险,外观,异响,1. 立即隔离可疑批次，共隔离485件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
ECU控制器,恩悌传媒有限公司,06月11日，总装车间反馈电子元件短路导致功能失效,功能,外观缺陷,1. 立即隔离可疑批次，共隔离305件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
线束总成,富罳传媒有限公司,01月09日，焊装车间反馈密封条开胶导致漏水风险,结构,间隙超差,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
一体式后车架组件,济南亿次元信息有限公司,08月06日，涂装车间反馈尺寸超差导致装配间隙过大,外观,间隙超差,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
一体式后车架组件,维旺明网络有限公司,11月22日，涂装车间反馈焊接虚焊导致结构强度不足,功能,连接强度不足,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
一体式后车架组件,菊风公司网络有限公司,06月15日，涂装车间反馈密封条开胶导致漏水风险,功能,外观缺陷,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
顶盖内衬总成,东方峻景科技有限公司,03月04日，总装车间反馈表面涂层脱落影响外观质量,电气,间隙超差,1. 启动整车排查，排查75台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
ECU控制器,通际名联信息有限公司,11月01日，焊装车间反馈尺寸超差导致装配间隙过大,外观,异响,1. 立即隔离可疑批次，共隔离319件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
线束总成,时空盒数字科技有限公司,02月11日，焊装车间反馈表面涂层脱落影响外观质量,尺寸,异响,1. 立即隔离可疑批次，共隔离112件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
ECU控制器,和泰科技有限公司,02月15日，焊装车间反馈焊接虚焊导致结构强度不足,电气,连接强度不足,1. 立即隔离可疑批次，共隔离111件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
一体式后车架组件,惠派国际公司传媒有限公司,03月22日，商品化区域反馈电子元件短路导致功能失效,尺寸,功能失效,1. 立即隔离可疑批次，共隔离472件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
车门铰链总成,华远软件传媒有限公司,10月18日，商品化区域反馈表面涂层脱落影响外观质量,尺寸,间隙超差,1. 启动整车排查，排查79台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
一体式后车架组件,彩虹网络有限公司,12月02日，发运场反馈密封条开胶导致漏水风险,尺寸,外观缺陷,1. 启动整车排查，排查75台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
车门铰链总成,创联世纪传媒有限公司,03月11日，总装车间反馈螺纹孔加工位置度偏移导致螺栓无法拧紧,外观,间隙超差,1. 启动整车排查，排查62台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
车门铰链总成,佳禾传媒有限公司,02月14日，商品化区域反馈螺纹孔加工位置度偏移导致螺栓无法拧紧,外观,连接强度不足,1. 立即隔离可疑批次，共隔离273件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
车门铰链总成,济南亿次元信息有限公司,09月03日，涂装车间反馈螺纹孔加工位置度偏移导致螺栓无法拧紧,功能,功能失效,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
ECU控制器,兰金电子科技有限公司,10月05日，焊装车间反馈表面涂层脱落影响外观质量,尺寸,间隙超差,1. 立即隔离可疑批次，共隔离99件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
一体式后车架组件,趋势科技有限公司,11月04日，发运场反馈尺寸超差导致装配间隙过大,功能,连接强度不足,1. 启动整车排查，排查123台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
车门铰链总成,华远软件科技有限公司,11月30日，商品化区域反馈电子元件短路导致功能失效,结构,异响,1. 启动整车排查，排查100台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
一体式后车架组件,富罳科技有限公司,06月22日，涂装车间反馈电子元件短路导致功能失效,电气,连接强度不足,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
一体式后车架组件,艾提科信传媒有限公司,02月04日，焊装车间反馈焊接虚焊导致结构强度不足,功能,间隙超差,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
ECU控制器,艾提科信传媒有限公司,05月13日，发运场反馈焊接虚焊导致结构强度不足,尺寸,异响,1. 立即隔离可疑批次，共隔离438件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
ECU控制器,惠派国际公司传媒有限公司,12月08日，涂装车间反馈电子元件短路导致功能失效,结构,异响,1. 立即隔离可疑批次，共隔离214件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
线束总成,济南亿次元信息有限公司,11月03日，焊装车间反馈电子元件短路导致功能失效,尺寸,外观缺陷,1. 启动整车排查，排查132台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
线束总成,惠派国际公司网络有限公司,05月05日，涂装车间反馈表面涂层脱落影响外观质量,功能,外观缺陷,1. 立即隔离可疑批次，共隔离89件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
一体式后车架组件,兰金电子网络有限公司,10月18日，焊装车间反馈螺纹孔加工位置度偏移导致螺栓无法拧紧,结构,间隙超差,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
一体式后车架组件,襄樊地球村科技有限公司,11月07日，发运场反馈螺纹孔加工位置度偏移导致螺栓无法拧紧,外观,连接强度不足,1. 立即隔离可疑批次，共隔离324件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
ECU控制器,海创传媒有限公司,03月17日，发运场反馈螺纹孔加工位置度偏移导致螺栓无法拧紧,尺寸,功能失效,1. 启动整车排查，排查186台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：胶水固化参数设置错误,2. 流出原因：过程巡检未包含此特性检查
顶盖内衬总成,鸿睿思博科技有限公司,11月15日，发运场反馈表面涂层脱落影响外观质量,结构,外观缺陷,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
一体式后车架组件,彩虹信息有限公司,01月21日，涂装车间反馈密封条开胶导致漏水风险,功能,功能失效,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
车门铰链总成,昊嘉网络有限公司,09月27日，商品化区域反馈螺纹孔加工位置度偏移导致螺栓无法拧紧,外观,外观缺陷,1. 启动整车排查，排查140台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
ECU控制器,天开科技有限公司,03月30日，焊装车间反馈表面涂层脱落影响外观质量,功能,间隙超差,1. 启动整车排查，排查140台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
ECU控制器,立信电子信息有限公司,02月14日，商品化区域反馈焊接虚焊导致结构强度不足,功能,异响,1. 立即隔离可疑批次，共隔离167件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
一体式后车架组件,飞海科技科技有限公司,11月03日，发运场反馈螺纹孔加工位置度偏移导致螺栓无法拧紧,功能,连接强度不足,1. 立即隔离可疑批次，共隔离315件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
ECU控制器,合联电子科技有限公司,08月04日，商品化区域反馈表面涂层脱落影响外观质量,尺寸,功能失效,1. 立即隔离可疑批次，共隔离89件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
车门铰链总成,方正科技科技有限公司,09月25日，发运场反馈电子元件短路导致功能失效,电气,功能失效,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
ECU控制器,盟新科技有限公司,04月21日，发运场反馈焊接虚焊导致结构强度不足,尺寸,连接强度不足,1. 启动整车排查，排查129台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
一体式后车架组件,毕博诚传媒有限公司,09月09日，涂装车间反馈尺寸超差导致装配间隙过大,外观,异响,1. 启动整车排查，排查150台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
ECU控制器,易动力网络有限公司,05月19日，涂装车间反馈螺纹孔加工位置度偏移导致螺栓无法拧紧,结构,间隙超差,1. 立即隔离可疑批次，共隔离234件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
顶盖内衬总成,兰金电子科技有限公司,09月25日，总装车间反馈焊接虚焊导致结构强度不足,尺寸,间隙超差,1. 立即隔离可疑批次，共隔离304件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
一体式后车架组件,立信电子科技有限公司,07月23日，涂装车间反馈电子元件短路导致功能失效,外观,功能失效,1. 立即隔离可疑批次，共隔离110件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
顶盖内衬总成,群英信息有限公司,12月25日，发运场反馈表面涂层脱落影响外观质量,功能,间隙超差,1. 立即隔离可疑批次，共隔离162件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
车门铰链总成,华泰通安网络有限公司,05月25日，涂装车间反馈焊接虚焊导致结构强度不足,尺寸,间隙超差,1. 立即隔离可疑批次，共隔离400件,2. 对在制品进行100%全检,3. 使用替代工艺进行返修,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
线束总成,迪摩网络有限公司,01月17日，总装车间反馈焊接虚焊导致结构强度不足,尺寸,功能失效,1. 启动整车排查，排查200台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：设备定位销磨损导致加工位置度超差,2. 流出原因：终检工位检测方法未能有效识别此缺陷
顶盖内衬总成,方正科技传媒有限公司,09月29日，焊装车间反馈焊接虚焊导致结构强度不足,结构,异响,1. 调整工艺参数临时补偿,2. 增加在线检测工位,3. 对库存产品进行复查,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
车门铰链总成,诺依曼软件信息有限公司,02月18日，总装车间反馈螺纹孔加工位置度偏移导致螺栓无法拧紧,尺寸,间隙超差,1. 启动整车排查，排查179台车辆,2. 供应商现场驻点筛选,3. 启用备用供应商,1. 根本原因：来料批次材料硬度超标,2. 流出原因：供应商出厂检验标准不完善
