序号,零部件名称,供应商名称,故障类型,故障现象,故障比例(%),根本原因
25,车门铰链总成,华远软件科技有限公司,电气,短路,3,来料批次材料硬度超标
26,车门铰链总成,飞利信科技有限公司,尺寸,压印,1.6,设备定位销磨损导致加工位置度超差
27,ECU控制器,迪摩科技有限公司,功能,划伤,2.9,来料批次材料硬度超标
28,车门铰链总成,七喜信息有限公司,功能,划伤,4.1,设备定位销磨损导致加工位置度超差
29,后顶盖外板组件,创汇科技有限公司,尺寸,间隙超差,2.8,来料批次材料硬度超标
30,前门密封条,富罳科技有限公司,尺寸,间隙超差,1.6,胶水固化参数设置错误
31,线束总成,联软网络有限公司,材料,短路,1.5,胶水固化参数设置错误
32,车门铰链总成,恩悌传媒有限公司,尺寸,间隙超差,1.5,胶水固化参数设置错误
33,线束总成,鸿睿思博信息有限公司,外观,色差,2.1,设备定位销磨损导致加工位置度超差
34,ECU控制器,商软冠联传媒有限公司,材料,短路,4.7,设备定位销磨损导致加工位置度超差
35,前门密封条,惠派国际公司科技有限公司,外观,划伤,1.3,设备定位销磨损导致加工位置度超差
36,线束总成,创汇传媒有限公司,尺寸,间隙超差,2.6,来料批次材料硬度超标
37,车门铰链总成,良诺科技有限公司,电气,间隙超差,4.5,胶水固化参数设置错误
38,线束总成,华泰通安网络有限公司,功能,色差,4.1,来料批次材料硬度超标
39,后顶盖外板组件,恒聪百汇网络有限公司,功能,间隙超差,0.9,设备定位销磨损导致加工位置度超差
40,前门密封条,凌云科技有限公司,外观,间隙超差,1.6,胶水固化参数设置错误
41,线束总成,襄樊地球村科技有限公司,电气,压印,0.9,来料批次材料硬度超标
42,车门铰链总成,快讯信息有限公司,电气,划伤,0.4,来料批次材料硬度超标
43,后顶盖外板组件,东方峻景科技有限公司,电气,间隙超差,4.9,胶水固化参数设置错误
44,前门密封条,黄石金承传媒有限公司,功能,短路,0.4,来料批次材料硬度超标
45,后顶盖外板组件,昂歌信息科技有限公司,电气,色差,3.7,来料批次材料硬度超标
46,前门密封条,戴硕电子信息有限公司,外观,色差,4.2,来料批次材料硬度超标
47,车门铰链总成,数字100传媒有限公司,尺寸,划伤,0.3,胶水固化参数设置错误
48,ECU控制器,飞利信网络有限公司,尺寸,间隙超差,1.8,胶水固化参数设置错误
49,ECU控制器,昂歌信息网络有限公司,材料,色差,2.1,来料批次材料硬度超标
50,前门密封条,明腾信息有限公司,功能,色差,1.9,来料批次材料硬度超标
51,线束总成,毕博诚信息有限公司,材料,间隙超差,0.7,胶水固化参数设置错误
52,车门铰链总成,新宇龙信息网络有限公司,电气,压印,4.9,胶水固化参数设置错误
53,线束总成,凌颖信息科技有限公司,功能,间隙超差,0.7,胶水固化参数设置错误
54,前门密封条,网新恒天传媒有限公司,功能,压印,3.3,设备定位销磨损导致加工位置度超差
55,前门密封条,数字100传媒有限公司,电气,压印,1.1,设备定位销磨损导致加工位置度超差
56,前门密封条,联通时科信息有限公司,电气,短路,0.5,来料批次材料硬度超标
57,后顶盖外板组件,良诺网络有限公司,电气,压印,3.7,胶水固化参数设置错误
58,车门铰链总成,开发区世创传媒有限公司,外观,间隙超差,1.6,设备定位销磨损导致加工位置度超差
59,ECU控制器,方正科技网络有限公司,电气,间隙超差,1.4,设备定位销磨损导致加工位置度超差
60,ECU控制器,易动力传媒有限公司,功能,色差,4.5,胶水固化参数设置错误
61,后顶盖外板组件,联软信息有限公司,材料,划伤,0.4,设备定位销磨损导致加工位置度超差
62,前门密封条,四通科技有限公司,尺寸,划伤,0.9,来料批次材料硬度超标
63,后顶盖外板组件,飞利信信息有限公司,材料,色差,3.1,设备定位销磨损导致加工位置度超差
64,线束总成,维涛信息有限公司,功能,划伤,2.8,胶水固化参数设置错误
65,前门密封条,图龙信息信息有限公司,电气,短路,0.7,设备定位销磨损导致加工位置度超差
66,ECU控制器,昊嘉科技有限公司,功能,划伤,5,来料批次材料硬度超标
67,ECU控制器,联软网络有限公司,尺寸,短路,2.6,设备定位销磨损导致加工位置度超差
68,ECU控制器,精芯传媒有限公司,外观,划伤,1,来料批次材料硬度超标
69,ECU控制器,晖来计算机网络有限公司,尺寸,划伤,2.3,胶水固化参数设置错误
70,线束总成,兰金电子科技有限公司,尺寸,压印,4.7,胶水固化参数设置错误
71,前门密封条,快讯信息有限公司,材料,色差,4.9,设备定位销磨损导致加工位置度超差
72,线束总成,浦华众城信息有限公司,材料,划伤,1.9,胶水固化参数设置错误
73,前门密封条,万迅电脑科技有限公司,电气,划伤,0.1,胶水固化参数设置错误
74,后顶盖外板组件,易动力传媒有限公司,功能,压印,2.3,胶水固化参数设置错误
75,前门密封条,惠派国际公司信息有限公司,外观,间隙超差,3.8,来料批次材料硬度超标
76,线束总成,四通网络有限公司,电气,压印,1.1,来料批次材料硬度超标
77,车门铰链总成,天益科技有限公司,尺寸,划伤,0.7,胶水固化参数设置错误
78,ECU控制器,鑫博腾飞科技有限公司,功能,划伤,1.2,胶水固化参数设置错误
79,ECU控制器,联软科技有限公司,尺寸,压印,0.6,胶水固化参数设置错误
80,ECU控制器,艾提科信科技有限公司,外观,间隙超差,0.8,设备定位销磨损导致加工位置度超差
81,车门铰链总成,立信电子网络有限公司,外观,色差,0.3,胶水固化参数设置错误
82,车门铰链总成,鸿睿思博信息有限公司,电气,短路,3.2,来料批次材料硬度超标
83,线束总成,图龙信息信息有限公司,外观,间隙超差,3.3,胶水固化参数设置错误
84,线束总成,海创网络有限公司,外观,短路,1.9,胶水固化参数设置错误
85,前门密封条,趋势传媒有限公司,外观,间隙超差,4.8,来料批次材料硬度超标
86,ECU控制器,趋势科技有限公司,电气,间隙超差,3.1,设备定位销磨损导致加工位置度超差
87,车门铰链总成,飞利信信息有限公司,材料,划伤,2.5,胶水固化参数设置错误
88,后顶盖外板组件,九方传媒有限公司,功能,划伤,0.8,胶水固化参数设置错误
89,前门密封条,泰麒麟信息有限公司,尺寸,压印,1.7,设备定位销磨损导致加工位置度超差
90,线束总成,佳禾科技有限公司,尺寸,间隙超差,1.7,来料批次材料硬度超标
91,ECU控制器,MBP软件科技有限公司,电气,短路,4.4,设备定位销磨损导致加工位置度超差
92,前门密封条,万迅电脑网络有限公司,材料,压印,2.3,来料批次材料硬度超标
93,前门密封条,泰麒麟信息有限公司,电气,短路,1.6,来料批次材料硬度超标
94,线束总成,时空盒数字信息有限公司,材料,划伤,3.6,设备定位销磨损导致加工位置度超差
95,车门铰链总成,维涛信息有限公司,尺寸,色差,1.9,胶水固化参数设置错误
96,前门密封条,网新恒天信息有限公司,外观,划伤,3,来料批次材料硬度超标
97,车门铰链总成,襄樊地球村网络有限公司,尺寸,间隙超差,0.5,来料批次材料硬度超标
98,线束总成,通际名联科技有限公司,电气,短路,1.4,设备定位销磨损导致加工位置度超差
99,ECU控制器,晖来计算机信息有限公司,尺寸,短路,4.3,胶水固化参数设置错误
100,前门密封条,方正科技信息有限公司,外观,压印,1.6,来料批次材料硬度超标
101,前门密封条,易动力科技有限公司,尺寸,压印,1,来料批次材料硬度超标
102,ECU控制器,维涛传媒有限公司,功能,划伤,4.5,设备定位销磨损导致加工位置度超差
103,车门铰链总成,趋势网络有限公司,材料,短路,0.2,设备定位销磨损导致加工位置度超差
104,前门密封条,数字100传媒有限公司,外观,色差,4.1,设备定位销磨损导致加工位置度超差
105,ECU控制器,鑫博腾飞科技有限公司,材料,划伤,1.6,胶水固化参数设置错误
106,后顶盖外板组件,飞海科技科技有限公司,尺寸,划伤,2.4,来料批次材料硬度超标
107,ECU控制器,菊风公司科技有限公司,尺寸,压印,1.3,来料批次材料硬度超标
108,后顶盖外板组件,双敏电子网络有限公司,电气,划伤,3.1,胶水固化参数设置错误
109,前门密封条,太极传媒有限公司,材料,色差,2.7,设备定位销磨损导致加工位置度超差
110,车门铰链总成,立信电子网络有限公司,尺寸,短路,2.2,设备定位销磨损导致加工位置度超差
111,线束总成,图龙信息网络有限公司,外观,间隙超差,3.3,来料批次材料硬度超标
112,前门密封条,图龙信息科技有限公司,外观,压印,4.6,胶水固化参数设置错误
113,车门铰链总成,信诚致远信息有限公司,电气,色差,2.1,胶水固化参数设置错误
114,车门铰链总成,彩虹科技有限公司,材料,短路,4.4,设备定位销磨损导致加工位置度超差
115,前门密封条,巨奥信息有限公司,外观,色差,1,设备定位销磨损导致加工位置度超差
116,前门密封条,飞利信信息有限公司,电气,色差,3.2,胶水固化参数设置错误
117,ECU控制器,昂歌信息科技有限公司,外观,间隙超差,3.7,胶水固化参数设置错误
118,前门密封条,天开信息有限公司,尺寸,间隙超差,3.6,设备定位销磨损导致加工位置度超差
119,ECU控制器,浦华众城传媒有限公司,电气,短路,4.9,胶水固化参数设置错误
120,后顶盖外板组件,东方峻景网络有限公司,材料,压印,4.8,来料批次材料硬度超标
121,车门铰链总成,维旺明信息有限公司,尺寸,色差,4.8,胶水固化参数设置错误
122,车门铰链总成,创联世纪科技有限公司,功能,色差,2.8,设备定位销磨损导致加工位置度超差
123,ECU控制器,海创信息有限公司,功能,划伤,4.8,来料批次材料硬度超标
124,后顶盖外板组件,毕博诚网络有限公司,外观,间隙超差,3.7,来料批次材料硬度超标
125,ECU控制器,维涛科技有限公司,尺寸,色差,2.5,胶水固化参数设置错误
126,车门铰链总成,富罳传媒有限公司,尺寸,压印,1.5,设备定位销磨损导致加工位置度超差
127,线束总成,菊风公司网络有限公司,材料,划伤,3.1,胶水固化参数设置错误
128,车门铰链总成,开发区世创科技有限公司,功能,色差,3.8,胶水固化参数设置错误
129,车门铰链总成,兰金电子科技有限公司,外观,划伤,2.7,设备定位销磨损导致加工位置度超差
130,车门铰链总成,易动力信息有限公司,外观,短路,4.7,来料批次材料硬度超标
131,前门密封条,华成育卓信息有限公司,材料,间隙超差,3.9,来料批次材料硬度超标
132,车门铰链总成,四通网络有限公司,材料,间隙超差,2.5,设备定位销磨损导致加工位置度超差
133,线束总成,襄樊地球村网络有限公司,电气,色差,4.3,设备定位销磨损导致加工位置度超差
134,ECU控制器,趋势科技有限公司,外观,色差,0.3,来料批次材料硬度超标
135,ECU控制器,易动力科技有限公司,功能,短路,2.7,设备定位销磨损导致加工位置度超差
136,前门密封条,济南亿次元传媒有限公司,功能,短路,0.4,设备定位销磨损导致加工位置度超差
137,ECU控制器,创联世纪传媒有限公司,外观,划伤,2.5,胶水固化参数设置错误
138,车门铰链总成,鑫博腾飞传媒有限公司,功能,压印,3.5,设备定位销磨损导致加工位置度超差
139,前门密封条,戴硕电子网络有限公司,外观,间隙超差,2.9,设备定位销磨损导致加工位置度超差
140,线束总成,创联世纪信息有限公司,材料,间隙超差,4.5,设备定位销磨损导致加工位置度超差
141,前门密封条,兰金电子科技有限公司,尺寸,划伤,1.6,胶水固化参数设置错误
142,ECU控制器,维旺明网络有限公司,尺寸,短路,1.2,来料批次材料硬度超标
143,车门铰链总成,合联电子信息有限公司,外观,压印,2.9,胶水固化参数设置错误
144,线束总成,华远软件信息有限公司,电气,划伤,1.6,胶水固化参数设置错误
145,线束总成,趋势科技有限公司,外观,短路,3.9,设备定位销磨损导致加工位置度超差
146,线束总成,太极传媒有限公司,电气,压印,1.5,胶水固化参数设置错误
147,车门铰链总成,富罳网络有限公司,尺寸,色差,4.1,胶水固化参数设置错误
148,车门铰链总成,雨林木风计算机网络有限公司,电气,短路,4.3,胶水固化参数设置错误
149,前门密封条,飞海科技传媒有限公司,外观,色差,3,设备定位销磨损导致加工位置度超差
150,前门密封条,华远软件科技有限公司,外观,压印,2.1,来料批次材料硬度超标
151,线束总成,易动力信息有限公司,材料,压印,0.3,来料批次材料硬度超标
152,ECU控制器,信诚致远科技有限公司,电气,色差,0.9,胶水固化参数设置错误
153,前门密封条,东方峻景科技有限公司,外观,色差,2.4,胶水固化参数设置错误
154,ECU控制器,万迅电脑科技有限公司,电气,间隙超差,3.7,来料批次材料硬度超标
155,线束总成,四通信息有限公司,材料,压印,1.8,设备定位销磨损导致加工位置度超差
156,后顶盖外板组件,惠派国际公司科技有限公司,材料,划伤,4.4,设备定位销磨损导致加工位置度超差
157,车门铰链总成,同兴万点科技有限公司,外观,划伤,3.7,来料批次材料硬度超标
158,ECU控制器,恒聪百汇信息有限公司,外观,压印,1.9,胶水固化参数设置错误
159,线束总成,时空盒数字信息有限公司,尺寸,划伤,0.6,设备定位销磨损导致加工位置度超差
160,车门铰链总成,新格林耐特信息有限公司,电气,色差,2.8,来料批次材料硬度超标
161,后顶盖外板组件,MBP软件信息有限公司,外观,色差,1.1,胶水固化参数设置错误
162,后顶盖外板组件,襄樊地球村网络有限公司,外观,色差,1.1,设备定位销磨损导致加工位置度超差
163,前门密封条,佳禾传媒有限公司,功能,色差,2.8,来料批次材料硬度超标
164,后顶盖外板组件,恩悌科技有限公司,材料,色差,3.3,胶水固化参数设置错误
165,后顶盖外板组件,戴硕电子信息有限公司,材料,间隙超差,2.2,来料批次材料硬度超标
166,前门密封条,时空盒数字信息有限公司,功能,间隙超差,3.3,来料批次材料硬度超标
167,后顶盖外板组件,数字100科技有限公司,电气,短路,3.1,来料批次材料硬度超标
168,后顶盖外板组件,创汇网络有限公司,功能,压印,3.8,设备定位销磨损导致加工位置度超差
169,ECU控制器,思优信息有限公司,电气,色差,0.1,来料批次材料硬度超标
170,车门铰链总成,网新恒天传媒有限公司,尺寸,色差,3.3,设备定位销磨损导致加工位置度超差
171,车门铰链总成,华远软件科技有限公司,电气,短路,4.9,胶水固化参数设置错误
172,后顶盖外板组件,鸿睿思博科技有限公司,材料,色差,4.9,来料批次材料硬度超标
173,前门密封条,巨奥信息有限公司,功能,间隙超差,0.2,设备定位销磨损导致加工位置度超差
174,ECU控制器,昂歌信息传媒有限公司,电气,压印,2.3,胶水固化参数设置错误
175,线束总成,网新恒天传媒有限公司,尺寸,短路,1.3,设备定位销磨损导致加工位置度超差
176,线束总成,维旺明信息有限公司,功能,短路,1.7,胶水固化参数设置错误
177,后顶盖外板组件,富罳网络有限公司,电气,间隙超差,0.6,胶水固化参数设置错误
178,前门密封条,良诺网络有限公司,外观,压印,2.4,胶水固化参数设置错误
179,ECU控制器,兰金电子传媒有限公司,尺寸,间隙超差,1.1,胶水固化参数设置错误
180,后顶盖外板组件,浙大万朋信息有限公司,材料,间隙超差,0.7,胶水固化参数设置错误
181,后顶盖外板组件,飞利信网络有限公司,电气,划伤,2.3,来料批次材料硬度超标
182,车门铰链总成,万迅电脑网络有限公司,功能,短路,2.6,设备定位销磨损导致加工位置度超差
183,车门铰链总成,方正科技信息有限公司,尺寸,色差,2.1,设备定位销磨损导致加工位置度超差
184,后顶盖外板组件,新格林耐特科技有限公司,功能,短路,2.3,设备定位销磨损导致加工位置度超差
185,车门铰链总成,彩虹科技有限公司,功能,压印,4.2,来料批次材料硬度超标
186,线束总成,戴硕电子传媒有限公司,功能,短路,4.1,设备定位销磨损导致加工位置度超差
187,车门铰链总成,良诺科技有限公司,尺寸,间隙超差,0.4,来料批次材料硬度超标
188,ECU控制器,维旺明信息有限公司,尺寸,划伤,4.6,来料批次材料硬度超标
189,后顶盖外板组件,时刻科技有限公司,电气,划伤,4.5,来料批次材料硬度超标
190,线束总成,创联世纪信息有限公司,功能,间隙超差,3.9,胶水固化参数设置错误
191,线束总成,快讯科技有限公司,材料,划伤,4.3,胶水固化参数设置错误
192,ECU控制器,立信电子信息有限公司,尺寸,短路,3.6,来料批次材料硬度超标
193,线束总成,恩悌科技有限公司,功能,间隙超差,4.6,胶水固化参数设置错误
194,前门密封条,浙大万朋传媒有限公司,材料,色差,2.7,设备定位销磨损导致加工位置度超差
195,前门密封条,新格林耐特科技有限公司,电气,划伤,2.8,来料批次材料硬度超标
196,后顶盖外板组件,商软冠联传媒有限公司,电气,划伤,4.5,设备定位销磨损导致加工位置度超差
197,前门密封条,新宇龙信息信息有限公司,电气,色差,1.4,来料批次材料硬度超标
198,前门密封条,时空盒数字网络有限公司,尺寸,压印,0.3,胶水固化参数设置错误
199,后顶盖外板组件,佳禾网络有限公司,外观,短路,0.8,来料批次材料硬度超标
200,后顶盖外板组件,合联电子传媒有限公司,外观,压印,2.8,胶水固化参数设置错误
201,ECU控制器,南康科技有限公司,功能,短路,5,来料批次材料硬度超标
202,前门密封条,太极科技有限公司,材料,色差,1.5,来料批次材料硬度超标
203,车门铰链总成,联软传媒有限公司,电气,划伤,4.6,设备定位销磨损导致加工位置度超差
204,车门铰链总成,艾提科信科技有限公司,材料,压印,0.3,胶水固化参数设置错误
205,ECU控制器,联通时科科技有限公司,外观,短路,1.2,来料批次材料硬度超标
206,ECU控制器,商软冠联传媒有限公司,功能,划伤,2.5,胶水固化参数设置错误
207,ECU控制器,菊风公司网络有限公司,外观,压印,0.9,胶水固化参数设置错误
208,车门铰链总成,四通传媒有限公司,外观,间隙超差,3.5,胶水固化参数设置错误
209,车门铰链总成,易动力传媒有限公司,材料,间隙超差,2.7,胶水固化参数设置错误
210,车门铰链总成,诺依曼软件信息有限公司,外观,间隙超差,1.3,设备定位销磨损导致加工位置度超差
211,车门铰链总成,飞海科技网络有限公司,外观,划伤,4.4,胶水固化参数设置错误
212,前门密封条,泰麒麟网络有限公司,材料,划伤,1.5,胶水固化参数设置错误
213,后顶盖外板组件,黄石金承信息有限公司,功能,短路,0.8,胶水固化参数设置错误
214,车门铰链总成,万迅电脑科技有限公司,外观,短路,4.5,胶水固化参数设置错误
215,车门铰链总成,恒聪百汇传媒有限公司,尺寸,短路,2.2,胶水固化参数设置错误
216,后顶盖外板组件,网新恒天信息有限公司,电气,压印,0.9,胶水固化参数设置错误
217,线束总成,太极信息有限公司,外观,压印,1.6,来料批次材料硬度超标
218,前门密封条,凌颖信息信息有限公司,尺寸,压印,4.3,胶水固化参数设置错误
219,后顶盖外板组件,晖来计算机传媒有限公司,尺寸,间隙超差,1.7,胶水固化参数设置错误
220,车门铰链总成,黄石金承传媒有限公司,功能,压印,1.4,来料批次材料硬度超标
221,ECU控制器,毕博诚科技有限公司,材料,间隙超差,2.3,设备定位销磨损导致加工位置度超差
222,前门密封条,中建创业传媒有限公司,电气,划伤,2.4,胶水固化参数设置错误
223,ECU控制器,图龙信息科技有限公司,功能,压印,1,来料批次材料硬度超标
224,车门铰链总成,和泰信息有限公司,外观,色差,3.4,胶水固化参数设置错误
225,线束总成,雨林木风计算机网络有限公司,电气,间隙超差,1.5,来料批次材料硬度超标
226,车门铰链总成,济南亿次元信息有限公司,电气,短路,3.9,胶水固化参数设置错误
227,ECU控制器,华成育卓信息有限公司,电气,短路,0.2,设备定位销磨损导致加工位置度超差
228,前门密封条,泰麒麟信息有限公司,材料,色差,2,胶水固化参数设置错误
229,后顶盖外板组件,富罳传媒有限公司,功能,色差,2,来料批次材料硬度超标
230,线束总成,维旺明网络有限公司,尺寸,压印,0.2,来料批次材料硬度超标
231,ECU控制器,迪摩网络有限公司,尺寸,色差,3.2,胶水固化参数设置错误
232,车门铰链总成,昂歌信息科技有限公司,外观,压印,1.4,来料批次材料硬度超标
233,后顶盖外板组件,联软信息有限公司,外观,短路,0.2,设备定位销磨损导致加工位置度超差
234,ECU控制器,艾提科信传媒有限公司,材料,短路,1.5,来料批次材料硬度超标
235,前门密封条,新格林耐特信息有限公司,功能,划伤,1.9,胶水固化参数设置错误
236,后顶盖外板组件,天益信息有限公司,尺寸,压印,3.2,胶水固化参数设置错误
237,ECU控制器,泰麒麟信息有限公司,电气,短路,0.7,来料批次材料硬度超标
238,车门铰链总成,飞海科技网络有限公司,尺寸,划伤,0.6,来料批次材料硬度超标
239,车门铰链总成,飞利信科技有限公司,材料,压印,4.3,胶水固化参数设置错误
240,后顶盖外板组件,迪摩科技有限公司,外观,色差,3,胶水固化参数设置错误
241,线束总成,时空盒数字科技有限公司,功能,划伤,4.6,胶水固化参数设置错误
242,线束总成,同兴万点传媒有限公司,材料,压印,4.2,来料批次材料硬度超标
243,线束总成,易动力网络有限公司,功能,色差,0.7,来料批次材料硬度超标
244,前门密封条,富罳传媒有限公司,功能,划伤,0.8,设备定位销磨损导致加工位置度超差
245,后顶盖外板组件,时空盒数字科技有限公司,外观,短路,4.1,设备定位销磨损导致加工位置度超差
246,线束总成,创汇传媒有限公司,外观,压印,2.8,设备定位销磨损导致加工位置度超差
247,ECU控制器,万迅电脑网络有限公司,功能,压印,4,胶水固化参数设置错误
248,前门密封条,迪摩传媒有限公司,功能,压印,4.7,来料批次材料硬度超标
249,前门密封条,同兴万点信息有限公司,材料,压印,4.8,来料批次材料硬度超标
250,前门密封条,MBP软件网络有限公司,电气,色差,0.5,设备定位销磨损导致加工位置度超差
251,车门铰链总成,银嘉信息有限公司,外观,划伤,1.6,来料批次材料硬度超标
252,前门密封条,鸿睿思博信息有限公司,外观,间隙超差,4.2,设备定位销磨损导致加工位置度超差
253,前门密封条,华泰通安传媒有限公司,电气,压印,4,设备定位销磨损导致加工位置度超差
254,ECU控制器,维旺明传媒有限公司,材料,间隙超差,1.8,设备定位销磨损导致加工位置度超差
255,后顶盖外板组件,数字100信息有限公司,材料,间隙超差,4.7,设备定位销磨损导致加工位置度超差
256,车门铰链总成,明腾网络有限公司,电气,短路,4.7,胶水固化参数设置错误
257,ECU控制器,良诺网络有限公司,材料,短路,0.3,设备定位销磨损导致加工位置度超差
258,后顶盖外板组件,惠派国际公司信息有限公司,材料,色差,3.7,来料批次材料硬度超标
259,ECU控制器,晖来计算机传媒有限公司,尺寸,压印,4.3,设备定位销磨损导致加工位置度超差
260,ECU控制器,易动力科技有限公司,外观,间隙超差,4.2,胶水固化参数设置错误
261,后顶盖外板组件,和泰科技有限公司,电气,压印,2.3,来料批次材料硬度超标
262,后顶盖外板组件,诺依曼软件科技有限公司,外观,间隙超差,0.3,胶水固化参数设置错误
263,车门铰链总成,商软冠联传媒有限公司,尺寸,色差,2.9,来料批次材料硬度超标
264,车门铰链总成,恩悌网络有限公司,功能,划伤,3.2,来料批次材料硬度超标
265,后顶盖外板组件,趋势网络有限公司,功能,间隙超差,2.6,胶水固化参数设置错误
266,后顶盖外板组件,联软网络有限公司,电气,划伤,3.7,胶水固化参数设置错误
267,后顶盖外板组件,易动力网络有限公司,功能,间隙超差,3.9,胶水固化参数设置错误
268,后顶盖外板组件,良诺科技有限公司,外观,短路,0.7,设备定位销磨损导致加工位置度超差
269,线束总成,四通科技有限公司,材料,间隙超差,3.9,设备定位销磨损导致加工位置度超差
270,前门密封条,华远软件信息有限公司,尺寸,间隙超差,0.5,胶水固化参数设置错误
271,前门密封条,双敏电子信息有限公司,尺寸,色差,4.9,来料批次材料硬度超标
272,ECU控制器,中建创业科技有限公司,电气,短路,0.6,胶水固化参数设置错误
273,后顶盖外板组件,昂歌信息信息有限公司,电气,短路,3.4,来料批次材料硬度超标
274,后顶盖外板组件,南康信息有限公司,功能,间隙超差,1.3,胶水固化参数设置错误
275,线束总成,联通时科信息有限公司,功能,色差,0.5,设备定位销磨损导致加工位置度超差
276,后顶盖外板组件,同兴万点网络有限公司,尺寸,压印,2.2,胶水固化参数设置错误
277,线束总成,双敏电子科技有限公司,外观,间隙超差,3.2,胶水固化参数设置错误
278,后顶盖外板组件,毕博诚传媒有限公司,外观,短路,1.7,胶水固化参数设置错误
279,车门铰链总成,飞海科技科技有限公司,尺寸,短路,2.4,设备定位销磨损导致加工位置度超差
280,后顶盖外板组件,飞利信网络有限公司,功能,短路,4,胶水固化参数设置错误
281,后顶盖外板组件,恒聪百汇信息有限公司,外观,划伤,3.7,设备定位销磨损导致加工位置度超差
282,线束总成,海创信息有限公司,外观,划伤,3.7,来料批次材料硬度超标
283,ECU控制器,图龙信息科技有限公司,电气,间隙超差,3.7,来料批次材料硬度超标
284,后顶盖外板组件,佳禾网络有限公司,功能,压印,0.9,设备定位销磨损导致加工位置度超差
285,车门铰链总成,天开科技有限公司,材料,间隙超差,2.6,来料批次材料硬度超标
286,前门密封条,凌云信息有限公司,尺寸,间隙超差,3.8,胶水固化参数设置错误
287,前门密封条,昂歌信息网络有限公司,电气,短路,2.1,设备定位销磨损导致加工位置度超差
288,车门铰链总成,菊风公司传媒有限公司,外观,间隙超差,1.1,来料批次材料硬度超标
289,线束总成,戴硕电子信息有限公司,功能,短路,0.5,来料批次材料硬度超标
290,线束总成,信诚致远信息有限公司,电气,划伤,2.6,胶水固化参数设置错误
291,线束总成,万迅电脑信息有限公司,电气,划伤,1.3,胶水固化参数设置错误
292,后顶盖外板组件,万迅电脑网络有限公司,尺寸,划伤,2.1,设备定位销磨损导致加工位置度超差
293,前门密封条,信诚致远科技有限公司,尺寸,短路,1.6,设备定位销磨损导致加工位置度超差
294,车门铰链总成,迪摩信息有限公司,材料,间隙超差,1.4,设备定位销磨损导致加工位置度超差
295,前门密封条,良诺传媒有限公司,外观,间隙超差,1.9,胶水固化参数设置错误
296,线束总成,维涛科技有限公司,尺寸,压印,2.4,胶水固化参数设置错误
297,后顶盖外板组件,昊嘉网络有限公司,电气,短路,4.5,设备定位销磨损导致加工位置度超差
298,线束总成,菊风公司科技有限公司,电气,划伤,4.4,来料批次材料硬度超标
299,前门密封条,双敏电子信息有限公司,功能,色差,0.4,来料批次材料硬度超标
300,ECU控制器,图龙信息信息有限公司,尺寸,划伤,2.3,胶水固化参数设置错误
301,后顶盖外板组件,新宇龙信息传媒有限公司,外观,色差,0.7,来料批次材料硬度超标
302,车门铰链总成,MBP软件信息有限公司,材料,间隙超差,1.3,来料批次材料硬度超标
303,后顶盖外板组件,开发区世创科技有限公司,材料,压印,2.3,胶水固化参数设置错误
